text,author,tags
"So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.",The Perks of Being a Wallflower,"['charlie', 'favourite-books', 'inspirational', 'sad', 'soul-searching', 'wallflower']"
Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad.,Henry Wadsworth Longfellow,"['coldness', 'depression', 'happiness', 'life', 'sad', 'sadness', 'sorrow']"
The reason it hurts so much to separate is because our souls are connected.,Nicholas Sparks,"['hurt', 'sad', 'seperate', 'soul']"
"He does something to me, that boy. Every time. It’s his only detriment. He steps on my heart. He makes me cry.",The Book Thief,"['heartbreak', 'love', 'sad']"
"People worry about kids playing with guns, and teenagers watching violent videos; we are scared that some sort of culture of violence will take them over. Nobody worries about kids listening to thousands - literally thousands - of songs about broken hearts and rejection and pain and misery and loss.",High Fidelity,"['music', 'sad']"
"I have learned now that while those who speak about one's miseries usually hurt, those who keep silence hurt more.",C. S. Lewis,"['hurt', 'lewis', 'misery', 'sad', 'truth']"
"there are two types of people in the world: those who prefer to be sad among others, and those who prefer to be sad alone.",The History of Love,"['comfort', 'sad', 'sadness']"
"I am both happy and sad at the same time, and I'm still trying to figure out how that could be.",The Perks of Being a Wallflower,"['confused', 'happy', 'sad']"
"So it’s true, when all is said and done, grief is the price we pay for love.","Brushstrokes of a Gadfly,","['grief', 'grief-inspirational', 'heartbreak', 'life', 'life-lessons', 'love', 'love-hurts', 'love-story', 'price-of-love', 'prices', 'romance', 'sad', 'sad-but-true', 'sadness', 'true-love']"
"I'm lonely. And I'm lonely in some horribly deep way and for a flash of an instant, I can see just how lonely, and how deep this feeling runs. And it scares the shit out of me to be this lonely because it seems catastrophic.",Dry,"['loneliness', 'lonely', 'sad', 'sadness', 'sorrow']"
All of humanity's problems stem from man's inability to sit quietly in a room alone.,Pensées,"['ironic', 'sad']"
"I'll fight it. I'll fight it for you. Don't you worry about me, Hazel Grace. I'm okay. I'll find a way to hang around and annoy you for a long time.",The Fault in Our Stars,"['augustus-waters', 'bittersweet', 'hazel-grace', 'love', 'sad', 'sweet', 'the-fault-in-our-stars']"
You're like a song that I heard when I was a little kid but forgot I knew until I heard it again.,Lament: The Faerie Queen's Deception,"['beautiful', 'completion', 'love', 'music', 'recognition', 'sad']"
"This is my depressed stance. When you're depressed, it makes a lot of difference how you stand. The worst thing you can do is straighten up and hold your head high because then you'll start to feel better. If you're going to get any joy out of being depressed, you've got to stand like this.",Charles M. Schulz,"['cute', 'funny', 'sad', 'stupid']"
The funniest people are the saddest ones,Confucius,"['funny', 'people', 'sad']"
"Someday, we’ll run into each other again, I know it.Maybe I’ll be older and smarter and just plain better. If that happens,that’s when I’ll deserve you. But now, at this moment, you can’t hook your boat to mine, because I’m liable to sink us both.",Memoirs of a Teenage Amnesiac,"['love', 'sad', 'sadness', 'sink', 'someday', 'sorrow']"
"Learn this now and learn it well. Like a compass facing north, a man’s accusing finger always finds a woman. Always. You remember that, Mariam.",A Thousand Splendid Suns,"['alone', 'man-s-heart', 'men', 'sad', 'violence', 'women']"
You’ve changed me forever. And I’ll never forget you.,The Elite,"['america', 'change', 'goodbye', 'love', 'maxon', 'relationship', 'sad', 'the-elite', 'the-selection']"
"Forever and ever, kid, until you're sick and tired of seeing me.",Legend,"['brother', 'inpirational', 'legend', 'love', 'marie-lu', 'sad']"
"If you don't receive love from the ones who are meant to love you, you will never stop looking for it.",The End of the World as We Know It: Scenes from a Life,"['longing', 'love', 'sad', 'searching', 'unrequited-love']"
i felt her absence. it was like waking up one day with no teeth in your mouth. you wouldn't need to run to the mirror to know they were gone,The Scorch Trials,"['absence', 'alone', 'breakup', 'broken', 'day', 'felt', 'forgive', 'gone', 'her', 'i', 'i-love-you', 'in', 'it', 'know', 'like', 'loneliness', 'lonely', 'mirror', 'miss', 'mouth', 'need', 'no', 'one', 'run', 'sad', 'separated', 'sorry', 'teeth', 'the', 'they', 'to', 'up', 'waking', 'want', 'was', 'were', 'with', 'wouldn-t', 'you', 'your']"
Melancholy were the sounds on a winter's night.,Jacob's Room,"['melancholy', 'night', 'sad', 'winter']"
"If I let myself love you, I won't throw myself in front of her. I'll throw myself in front of you.",Vampire Academy,"['romance', 'sad', 'sweet']"
you're an expert at sorry and keeping the lines blurry,Taylor Swift,"['couples', 'heartbreak', 'love', 'missing-you', 'sad', 'song-lyrics']"
Nothing is ever certain.,The Lovely Bones,"['absolutes', 'cruel', 'death', 'lies', 'phrases', 'sad', 'truth']"
Even on my weakest daysI get a little bit stronger,Sara Evans,"['breaking-up', 'couples', 'letting-go', 'love', 'relationship', 'sad']"
